original_text,original_label,generated_text,generated_label
i get scared i feel ignored i feel happy i get silly i choke on my own words i make wishes i have dreams and i still want to believe anything could happen in this world for an ordinary girl like you like me for an ordinary girl like you like me how are you,0,"I sometimes feel a little scared and like I’m not being heard. I also experience moments of joy and silliness. I find myself struggling to express what I’m thinking, and I make wishes and have dreams. I still hold onto the hope that anything wonderful could happen, especially for someone like you, like me. How are you?",4
im feeling a bit distressed about it,4,I’m feeling a little distressed about this.,4
i woke on saturday feeling a little brighter and was very keen to get outdoors after spending all day friday wallowing in self pity,1,"I woke up on Saturday feeling a bit brighter and was really looking forward to spending some time outdoors, especially after spending the whole day on Friday feeling down.",1
i didnt feel terrible about slowing them down,0,I didn’t feel particularly bad about slowing them down.,1
i know if i go to crossroads or thrift stores i can find something roughly like what im wishing for if i search hard enough and theres no feeling quite so delicious as something awesome for a good bargain,1,"I’ve found that exploring crossroads and thrift stores often leads to discovering wonderful items that closely match what I’m looking for, and there’s truly nothing quite like finding a fantastic bargain.",1
i want to feel like a nurtured respected protected equal,1,"I would really appreciate feeling like I am nurtured, respected, protected, and treated as an equal.",1
i feel exhausted but i get my workout in,0,"Despite feeling quite exhausted, I still managed to complete my workout.",0
i feel very honoured that i evoke so much emotion in you that would drive you to put in so much effort for me,1,"I am truly honored to evoke such emotion in you, which has inspired you to dedicate so much effort to me.",1
i feel like it is almost vital that if i do not find more answers about a href http quilting,1,I believe it would be incredibly helpful if I could find more information about quilting.,1
i should be able to head shot someone at the other end of a football field because i feel threatened by them,4,I am concerned about the situation and would like to explore ways to address my feelings of being threatened. It would be possible to resolve this matter safely and respectfully.,4
i love being able to wear track pants in the day time with the cuffs rolled up with anklets and ballet flats i love being ridiculously warm and feeling smug as i see people struggling with bags with their big coats with pockets like these who needs bags,1,"I truly enjoy the freedom of wearing track pants with the cuffs rolled up, paired with anklets and ballet flats. It’s wonderful to feel so comfortably warm, and I find it delightful to observe others managing with heavier coats and bags – it’s a lovely feeling!",1
i love getting out the decorations and feeling festive i am happy to put them away,1,I always find it so enjoyable to put up the decorations and create a festive atmosphere. I’m pleased to put them away when it’s time.,1
i feel like starting with my name is susanna but i dont want to be that boring,0,"I’ve always felt like my name is Susanna, but I sometimes find it a little ordinary.",1
i do like riding on brooms but there is something about just sitting and holding colin and feeling the wind in my hair that is quite pleasant,1,"I do enjoy riding on brooms, but I find there’s a particular pleasure in simply sitting and holding Colin, feeling the wind in my hair.",1
i feel sorry for the poor guy who were told to leave by female passenger when they accidentally sit on area for women,0,I was very sorry to hear about the situation where a man was asked to leave by a female passenger after accidentally sitting in a designated area for women.,0
ive been feelin cranky about my blog im feeling its still a bit childish for me already i dont know if its the blog itself the address or something else,3,"I’ve been feeling a little frustrated with my blog lately. I feel it might still be a bit too young for me, and I’m not sure if it’s the blog itself, the address, or something else contributing to this feeling.",3
i feel that the out of people that i encounter in the day that are rude and mean to me for no reason at all,3,"I’ve noticed that sometimes I encounter individuals who are unkind and disrespectful towards me, and it’s upsetting.",3
i feel like i get more and more frantic with no clue which way to turn what direction my life is going or if i should even care,4,"I’ve been feeling increasingly frantic lately, and it’s quite overwhelming not to have a clear sense of direction or understanding about where my life is headed, nor feeling sure about how to approach it.",4
i was sitting on my rear feeling proud of myself for being on top of my game for once i realized that i shouldn t pass up an opportunity to share something i ve learned from the men in my life that get to celebrate father s day starting with my dad,1,"I was feeling pleased with myself for having been so productive recently. I also wanted to share a valuable lesson I’ve learned from the wonderful men in my life, particularly as we begin celebrating Father’s Day with my dad.",1
i floated through the day with my head just below the surface feeling a little melancholy depressed and couldnt seem to bring it above the water,0,"I spent the day feeling somewhat melancholy and depressed, with my thoughts drifting just below the surface and finding it difficult to fully engage.",0
i feel benevolent enough to buy them some peanuts and other treats,1,I would be pleased to buy them some peanuts and other treats.,1
i felt like i couldnt let myself believe the feelings i was getting from these men that the phone call had been a fake,0,I found it difficult to accept that the feelings I was experiencing with these men might have stemmed from a fabricated phone call.,0
i feel embarrassed for others that something so small makes them feel awkward,0,I find myself feeling a little embarrassed for others when something so minor seems to cause them awkwardness.,0
i actually just took a two hour break because i was feeling too pissed to keep writing,3,I recently took a two-hour break because I was feeling quite upset and unable to continue writing.,0
i feel rich in it,1,I feel quite fortunate in it.,1
i really feel like this year will be a mellow one,1,I have a feeling this year will be quite peaceful and relaxed.,1
i feel im not bothered by that,3,I don’t find that to be a concern.,1
i prefer to feel valued than just save money i prefer to work with people i know personally,1,I would greatly value feeling appreciated rather than simply saving money. I also prefer to work with people I know and trust personally.,1
i feel pain even when i see an unfortunate person in street begging why does my mind race and think why is that person there,0,"I experience a sense of pain even when I witness someone struggling to beg on the street. I find myself wondering about the reasons behind their situation, and it causes me considerable thought.",0
i am not working out the amount i would like to i feel like my lifestyle change has been successful so far,1,I’m still determining a specific financial goal for myself. I feel like my lifestyle changes have been quite successful thus far.,1
i am is cornish and i feel so insulted and hurt to know that people my own age dont see what i see dont understand how much cornwall is important to their lives,3,"I’m Cornish, and I’m feeling quite hurt and insulted to learn that many of my own age don’t seem to share my perspective or understand the deep importance Cornwall holds for so many people.",3
i had been feeling fabulous and full of energy but easter weekend wiped me out and i havent been able to recover,1,"I had been feeling wonderful and energetic, but Easter weekend really took a toll on me, and I haven’t been able to fully recover since.",1
i came across this picture of a diy twiggy candle holder and now im feeling all festive and creative,1,I recently saw a picture of a DIY twiggy candle holder and it’s inspired me to feel festive and creative.,1
i can t help but feel appreciative of artists who produce such quality work,1,I wanted to express my sincere appreciation for artists who create such beautiful and high-quality work.,1
i got a bit caught up in the moment and forgot that at the core of the rude comments and silly songs were the real feelings of a beloved and brilliant comic actor and a very sweet and big hearted young woman,1,I became a little carried away and overlooked the genuine emotions behind the somewhat impolite comments and playful songs – the heartfelt feelings of a cherished and talented comic actor and a truly kind and generous young woman.,1
i went with one of those because honestly i was feeling very sentimental about family that morning,0,I chose that one because I was feeling quite sentimental about my family that morning.,0
i saw him on galaxies magazine i feel curious why this singer is so famous,5,I recently saw him featured in *Galaxies* magazine and was curious to learn more about what has made him so well-known.,5
i sat with dave atell at first trying not to feel rude while the guys were eating,3,"I sat with Dave Attell at first, trying not to appear rude while the others were eating.",3
i always feel rushed on the way to visit no comments,3,"I often feel a bit rushed when preparing to visit, and I don’t have any specific comments to offer at this time.",3
i feel very peaceful about the whole situation,1,I find myself feeling very peaceful regarding the situation.,1
i have keep posting up sleeping pictures when i was feeling exhausted like as of right now especially after lunch getting stuck in the office in midst of the rain nice air conditioning,0,"I’ve been sharing pictures of myself sleeping recently, particularly when I’ve been feeling exhausted, such as after lunch and when I’m stuck in the office during the rain with the air conditioning.",0
i believe a publisher editor should bless his products with as light a hand as is possible and i feel that having my artwork on any of my chapbooks would strike one as being a little self aggrandisement and vain,0,I would appreciate it if a publisher editor approached my artwork with a very gentle and minimal touch. I also feel that having my work included in my chapbooks might be perceived as somewhat self-promotional and overly boastful.,2
im just gonna end here cause i feel stupid lying on my bed typing non stop for the past mins,0,"I’m going to stop here; I apologize for the lengthy, unproductive typing I’ve been doing for the past few minutes.",0
i guess sometimes you arent aware of your true feelings until a playful kiss exposes them,1,It’s often the case that our genuine feelings may not be apparent until a lighthearted kiss reveals them.,0
i am feeling a little uncertain as i am waiting to hear from my land lady to confirm a date and receive my contract,4,I’m feeling a little uncertain while I wait to hear from my landlord to confirm a move-in date and receive my contract.,4
i only find him when im feeling troubled,0,I tend to encounter him when I’m feeling a bit troubled.,0
i don t feel like i m being pressured to do anything and i don t feel like making love to my husband has any connection to the assaults and rapes,4,"I don’t feel pressured to do anything, and I want to be clear that my lack of interest in intimacy with my husband is not connected to the assaults and rapes I’ve experienced.",4
i feel only love yesterday it brought tears to my eyes to hear him say that today i realize that it was why it was so special to be with them i was surrounded by love,1,"Yesterday, I felt such a profound sense of love, and it brought tears to my eyes to hear him say those beautiful things. Today, I realize how truly special that time was, being surrounded by such warmth and affection.",1
im feeling relieved yet painful but something inside me is creepily numb i feel like a ghost in the hallways the way i used to just dont tell me its only another time to succumb,1,"I’m experiencing a sense of relief mixed with pain, and a strange numbness is settling within me. It feels as though I’m a ghost moving through familiar spaces, as I used to be. Please don’t tell me it’s simply another time to give in.",4
i know how that feels weird right,4,I understand that can feel a little strange.,4
i know exactly how she feels because i hated it so badly i got so depressed i was cutting myself when i got so low i started thinking about suicide i did run away to nyc the farthest place from them where they wouldnt be able to find me,3,"I understand completely how she feels, as I experienced something very similar. It led to deep depression and self-harm, and at times, I struggled with thoughts of suicide. I eventually sought distance, moving to New York to create a space where I could feel safe and away from those situations.",1
i do not see or feel the need to respond to any of your ludicrous questions concerning anything,0,I don’t currently feel the need to respond to your questions.,1
i feel all slutty for some reason oh wait i know ive had like guys talk to me about sex and stuff one guy dave was like,2,"I’m feeling a bit self-conscious right now, and I think it’s because I’ve been discussing sensitive topics with some men. For example, Dave mentioned…",0
i actually have been in china for some time and i feel that the people were quite friendly,1,"I have, in fact, spent some time in China and found the people to be very friendly.",1
i think about myself personally when it comes to investing i feel like i would fall into the investment category of getting greedy i think id invest into a bombing market like coca cola in the s,3,"When considering my own investments, I tend to recognize a tendency toward potentially excessive enthusiasm. I believe I might be drawn to investing in situations like a declining market, perhaps focusing on companies such as Coca-Cola.",1
i wake up ill feel really really mad,3,I often wake up feeling quite angry.,3
i dont know if i should feel dismayed or pleased that he tells me that they have just taken on new staff first time in years,0,"I’m not sure whether to feel dismayed or pleased to hear that they’ve welcomed new staff, which is the first time in years they’ve done so.",1
i could feel her eyes on me hot on my skin,2,"I sensed her attention directed towards me, a warmth against my skin.",3
i don t always feel joyful and i quite often throw prayer out the window,1,"I don’t always experience joy, and I sometimes find it difficult to consistently pray.",1
i still have that feeling to you until now ya the feeling to loving you,2,"I still hold that feeling for you, and it persists to this day – a feeling of loving you.",2
i still feel like im damaged goods and that affects everything that i do in my life,0,"I continue to feel a sense of being damaged, and that does unfortunately impact my life in various ways.",0
i can but i feel massively uncomfortable doing it it consumes massive amounts of processing power and i associate it with some very bad situations ive been in recently,4,"I’m willing to do this, but I’m experiencing significant discomfort and it’s requiring a great deal of processing power. It’s unfortunately linked to some difficult experiences I’ve recently had.",1
i just feel more dazed and alone in the end,5,I’m left feeling a bit more dazed and alone at the end.,5
ive always been feeling restless and dissatisfied with our relationship,4,I’ve always felt a sense of restlessness and dissatisfaction within our relationship.,0
i am sharing information that i feel is important to personal safety and empowerment parenting and living well,1,"I’m sharing some information that I believe is valuable for personal safety, empowering parenting, and overall well-being.",1
i live in between my moments of sun sometimes i feel like a doll on a shelf or some perverse performing puppet,0,"I often find myself caught between moments of sunlight. Occasionally, I feel a bit like a doll displayed on a shelf, or perhaps like a performing puppet in a peculiar way.",0
i am feeling very confident as of late,1,I’ve been feeling quite confident lately.,1
i asked darren about it when he got home as i was feeling a bit curious even though it didnt really matter and it was really none of my business,5,"I asked Darren about it when he arrived home, as I was feeling a bit curious about it, though it wasn’t really something I should have been involved in.",5
i didnt expect to feel so disheartened about his departure but i really really do,0,"I was quite disheartened by his departure, and I truly feel it deeply.",0
i should feel thankful or totally pani,1,I would like to express my gratitude and acknowledge the situation fully.,3
i am just feeling that i really want to treat my parents nicely and i did it somehow as for him i need to be more generous as don t get jealous easily rawr i am a person with strong possession,2,"I’m feeling a strong desire to show my parents how much I appreciate them, and I’ve been trying to do that. I also recognize that I could be more generous with others and try not to feel jealous. I value my possessions and appreciate having them.",3
i feel dumb for even liking you,0,I apologize if my feelings seem strange; I value our connection.,4
im feeling very grumpy this week but its not just my annual outbreak of ptpt pre te pouhere tension there has surely been a great deal to be grumpy about this week,3,"I’ve been feeling quite grumpy this week, and while my usual seasonal tension from PTPT and related pressures is a factor, there have certainly been many things contributing to this feeling.",3
i feel more content with what i have achieved and i know if i don t write today there ll still be a tomorrow,1,"I’m feeling much more satisfied with my accomplishments, and I know that if I don’t write today, there will certainly be another day ahead.",1
im feeling in my heart to make my list of things that i am thankful for,1,I’m feeling a desire to create a list of things I’m thankful for.,1
i was warming up starting feeling a little lethargic,0,I was just getting started and feeling a bit sluggish.,0
i walk out of the studio feeling exhausted soaking wet with sweat and with a startling clarity of focus and quiet inside,0,"As I stepped out of the studio, I felt profoundly exhausted, drenched in sweat, yet possessed of a remarkable clarity of focus and a peaceful stillness within.",1
i didnt feel too needy i didnt feel too emotional,0,"I wasn’t feeling particularly needy, and I wasn’t experiencing strong emotions.",0
i had coped for barely twenty four hours before i was feeling wrung out and distraught,4,I had managed to find some peace for barely twenty-four hours before I began to feel quite worn out and distressed.,4
i would feel fearful of being killed by other mistresses,4,I would understandably feel a sense of fear regarding the possibility of harm from other individuals in similar circumstances.,4
i feel useless and worthless,0,I’m struggling with feelings of inadequacy and low self-worth right now.,0
i began to feel strange i thought to myself here it comes,4,"I began to feel a little strange, and I realized it was arriving.",4
i feel inspired to get back to my indigo pot,1,I’m feeling inspired to return to my indigo pot.,1
i still feel funny writing that like maybe i should call her my spirit guide or really observant cheerleader or something,5,"I still find myself feeling a little hesitant to describe her that way, perhaps as a spirit guide or a particularly observant cheerleader.",4
i feel very much the tragic side of life but my endings are always happy somehow,0,"I often find myself reflecting on the bittersweet aspects of life, and yet, I’ve noticed that my conclusions tend to be surprisingly positive.",1
i feel really wonderful about myself and love the life i live,1,I’m feeling truly wonderful about myself and deeply appreciate the life I’m living.,1
im just now realizing i didnt have a diet coke today and that makes me feel proud regardless of the other junk i consumed today,1,"I’m just noticing that I didn’t have a Diet Coke today, and that actually makes me feel quite pleased, regardless of everything else I’ve enjoyed today.",1
i feel triumphant and even thought it may be just a fleeting moment i am enjoying the power of motherhood,1,"I feel a wonderful sense of triumph, and even though I know this feeling might be temporary, I’m truly enjoying the beautiful power of motherhood.",1
im living alone while waiting for my license test and english speaking test im feeling more relaxed hibernating without any fresh air,1,"I’m currently living alone while I’m waiting for my license and English speaking tests. I’ve found that I’m feeling quite relaxed and enjoying a peaceful, quiet time without fresh air.",1
i had grand plans of baking through my two days off but i mostly ended up just curled up on the couch pouting about not feeling well,1,"I had hoped to spend my two days off baking, but I mostly spent them relaxing on the couch and feeling a bit under the weather.",0
i am normally very able to express how i feel particularly when im excited or happy,1,"I usually find it quite easy to express my feelings, especially when I’m excited or happy.",1
i might also write a bit about science if im feeling particularly energetic,1,I could also include a little about science if I’m feeling particularly energetic.,1
i can not drop this class because then i lose the financial aid for not having enough credits plus i feel like a quitter and im too stubborn for that,3,"I’m unfortunately unable to drop this class as doing so would result in the loss of my financial aid, and I’m also feeling discouraged and somewhat stubborn about continuing.",3
im a little tired of writing about these things and feel like these solemn posts are a bit too much for this home school family blog,1,I’ve found myself a little weary of discussing these topics and feel that these more serious posts might be a bit heavy for our homeschool family blog.,1
i cant help but feel that i need to be delicate,2,I wanted to express that I’m trying to be mindful and gentle in my approach.,2
i feel like they have been more than generous and completely understand that things change i mean days off unpaid,2,"I appreciate their generosity and completely understand that circumstances can shift, including needing days off or occasional unpaid time.",2
i feel uncontrollably agitated and i have no idea why,4,"I’m experiencing a great deal of agitation right now, and I’m struggling to understand the reason behind it.",0
i feel proud to have carried out this struggle as today i feel myself to be a real human being,1,"I feel a great sense of pride in having persevered through this, as I truly feel like a real human being today.",0
i first held my scotty i knew i was in love with my high priced bundle of joy but i couldnt help feeling apprehensive about what the time to come holds,4,"Upon first holding my Scotty, I knew he was a wonderful and cherished addition to my life. While I couldn't help but feel a little apprehensive about the future, I eagerly anticipated the time to come.",4
i head out feeling brave again,1,I’m heading out feeling brave again.,1
i think i have a right to know if my neighbour can t see if i m feeling envious or embarrassed or can t tell the difference between the don t walk guy from the walk guy,3,"I was hoping to understand if my neighbor might be able to discern whether I’m feeling envious or embarrassed, or if they find it difficult to differentiate between someone who shouldn’t be walking by and someone who is simply walking.",3
i also feel hopeful when contacted by new congregations and then devastated when they choose another,1,"I also feel hopeful when contacted by new congregations and, understandably, saddened when they ultimately choose to go with another option.",1
i loved the feeling i got during an amazing slalom run whether it was in training or in a race,5,"I truly cherished the wonderful feeling I experienced during a fantastic slalom run, whether it was during training or a race.",1
i mean is that when we are true to ourselves and our style and we see a reflection we like in the mirror all of the ugliness in society that is there to make us feel ugly or inadequate based on our looks suddenly becomes completely annulled,0,"I was wondering if it’s true that when we embrace our authentic selves and personal style, and when we see a reflection we appreciate, the negative feelings we sometimes experience from societal pressures regarding appearance simply disappear?",1
i feel for this little pound lovely is truly a gift,2,"I find this little pound truly a lovely gift, and I’m so grateful for it.",2
i always feel stupid afterwards,0,I often feel a bit foolish afterward.,0
i had the most amazing run this morning and im feeling so determined these past few days,1,I had a truly wonderful run this morning and I’m feeling so determined over the next few days.,1
i feel more and more stressed,3,I’ve been experiencing a growing sense of stress lately.,1
i was feeling pretty good about the day ahead but that then took a turn for the absolute worst when i suddenly realised i have a dreadful fear of water i can t stand in,1,"I had been feeling quite positive about the day ahead, but unfortunately, things took a significant turn for the worse when I suddenly realized I have a rather intense fear of water; I find it difficult to tolerate being in it.",1
i mean not one i feel that it is my duty to help all of our loyal readers of hb understand the world that is going on around them,2,I want to express that I don’t feel it’s my responsibility to explain the world to all of our loyal readers of HB.,2
i didnt feel gloomy,0,I wasn’t feeling particularly gloomy.,0
i was feeling restless no one was home and it was sunny outside,4,"I was feeling a bit restless, as no one was home and the sun was shining brightly outside.",4
i feel like a lot of men are royally fucked up and go through life wreaking havoc and end up destroying themselves in the process,3,"I often observe that many men struggle significantly throughout their lives, and sometimes this leads to self-destructive behaviors and difficult outcomes.",0
i feel frustrated and can t see a way to save it,3,I’m feeling frustrated and I’m struggling to find a way to resolve this.,3
i think this is really great having been in situations where i feel overtly threatened in a public place where everyone pretends they don t see what s happening,4,"I find this incredibly reassuring, having experienced situations where I felt genuinely threatened in public places, and witnessing how others seemed not to notice.",4
i just wish i didnt feel like my roommates hated me half the time,3,I would really appreciate it if I didn’t sometimes feel like my roommates disliked me.,0
i had awesome workouts and feeling amazing,1,I’ve been really enjoying my workouts and feeling fantastic as a result.,1
i feel grumpy i m going to dig out my xl mens pajama s grab a bar of chocolate put my favorite chick flick in the dvd player and treat myself not like a failure of some kind but like a person who is feeling grumpy who maybe just needs some time to herself,3,"I’m feeling a bit grumpy, so I’m going to indulge in some self-care. I’ll dig out my extra-large men’s pajamas, grab a chocolate bar, and put on my favorite chick flick. I’m going to treat myself with kindness, recognizing that I’m simply a person needing a little time to herself.",3
i don t know what to feel as in i am not sure should i feel sad cause it is ending or should i feel glad that it is over and i can move on,1,"I’m finding it difficult to know how to feel, as I’m unsure whether to feel sadness because it’s ending, or happiness that it’s over and I can move forward.",4
i can t help but feel considerate towards others,1,I find myself feeling considerate of others.,2
i am feeling a bit discouraged but am hopefull the bees will know what to do,0,"I’m feeling a little discouraged at the moment, but I’m hopeful the bees will find a solution.",0
i dont want her to beg at my feet but a how are you courtney or a hows your new project coming courtney would give me some affirmation that i dont feel like a submissive slug,0,I would appreciate it if Courtney greeted me with a simple “hello” or inquired about her new project occasionally. Hearing words of affirmation that I am not feeling undervalued would be very welcome.,0
i feel that phrase implies a calm orderly procession in which i would remove the refuse from my,1,"I believe that phrase suggests a peaceful and organized flow, one in which I would gladly take care of the refuse.",1
i just remember feeling really dazed and amazed that it had all happened little did i know if you are about to have or have just had surgery then good luck i m sure i ve had the bad luck for everyone,5,"I recall feeling quite dazed and amazed by the events that unfolded. If you are about to undergo or have recently undergone surgery, I sincerely wish you all the best and hope you find strength and comfort.",5
i have done so in hopes of being inspiring while at the same time looking for solace from people rather than god and for proof that maybe i can do something good while i feel so horrible,0,"I’ve shared this with the hope of offering some inspiration and also seeking comfort from others rather than from a higher power, and to perhaps find a way to do something positive during this difficult time.",1
i feel so heartbroken and confused and just blah blah blah,0,"I’m feeling incredibly heartbroken and confused, and I’m struggling to find the words to express how I’m feeling.",0
